L-col L-row R-col R-row
1703 222 896 152
1607 245 795 169
1062 291 270 183
1604 301 782 224
1643 397 803 322
1686 403 846 330
1687 416 845 343
1887 495 795 422
1167 667 311 562
1914 767 761 691
1918 767 765 692
1426 976 517 882
1372 985 462 888
1345 1048 425 948
1461 1134 526 1040
1520 1154 582 1062
1522 1194 576 1102
1380 1199 437 1099
1380 1199 437 1099
1386 1206 442 1106
1712 1239 727 1156
1370 1290 413 1187
1266 1353 301 1243
1675 1366 671 1279
1216 1519 227 1403
1672 1602 630 1511
1176 1603 175 1484
1126 236 343 133
1688 247 875 176
1602 406 762 328
1544 419 727 339
1610 427 766 350
1701 433 855 361
1884 515 788 442
1884 556 778 482
1935 592 821 521
1896 601 779 527
1896 601 779 527
2096 610 980 547
1964 714 822 642
1972 723 829 652
1972 723 829 652
1243 756 371 654
1844 760 694 680
1248 773 374 672
1321 940 418 840
1639 963 701 881
1453 977 542 884
1615 981 674 896
1496 984 585 894
1503 985 591 895
1473 986 562 894
1378 990 467 893
1445 1056 523 961
1333 1131 401 1029
1401 1199 458 1100
1399 1206 454 1107
1470 1210 523 1114
1691 1222 710 1138
1514 1277 556 1183
1339 1288 383 1183
1364 1300 406 1196
1293 1356 327 1247
1293 1356 327 1247
1489 1359 519 1262
1459 1433 477 1333
1266 1435 289 1324
1357 1437 377 1331
1352 1513 361 1405
1280 1515 289 1403
1464 1524 470 1423
1198 1601 197 1483
1121 1608 121 1485
1439 1612 431 1508
1626 86 844 13
1692 88 909 18
2027 173 1258 124
1241 176 471 80
1669 211 864 139
1100 288 308 182
1058 289 266 181
1097 292 305 186
1616 335 788 258
867 447 51 326
2099 476 1014 415
967 502 140 387
1958 511 863 442
2169 535 1069 478
2105 584 993 522
1431 593 585 503
2143 618 1024 559
2152 618 1035 559
1885 681 750 605
1882 717 741 641
1331 745 459 649
1930 766 778 692
1402 771 526 678
1110 780 237 670
1296 853 407 753
1279 911 381 809
1545 912 644 825
1525 912 625 824
1258 920 359 816
1398 921 498 826
1500 922 598 833
1519 923 617 835
1529 922 626 835
1369 927 468 830
1369 927 468 830
1167 976 261 866
1376 976 467 879
1467 977 556 885
1473 990 561 898
1174 991 265 881
1249 991 340 885
1635 999 691 915
1636 1008 691 924
1364 1046 444 948
1441 1048 520 954
1365 1064 443 965
1439 1069 515 974
1449 1118 517 1023
1165 1120 237 1008
1184 1122 255 1011
1019 1126 92 1005
1019 1126 92 1005
