Lx Ly Rx Ry
-2.523003 4.892191 -9.640271 5.954558
-2.452813 5.025320 -9.547685 6.087943
-2.443405 4.874108 -9.561607 5.929019
-2.337769 4.980415 -9.435393 6.032470
-2.108107 4.979621 -9.197233 6.015078
-2.083253 5.469190 -9.085156 6.506087
-2.054790 4.872774 -9.156603 5.902726
-2.037270 4.917161 -9.130554 5.947070
-2.019777 4.970447 -9.106583 5.999427
-2.012816 1.674878 -9.636406 2.688603
-1.931464 4.961287 -9.014589 5.983073
-1.830134 3.127966 -9.212395 4.128295
-1.706472 2.871943 -9.122535 3.867653
-1.578412 4.942564 -8.651691 5.937456
-1.511474 1.498593 -9.152545 2.478988
-1.506270 -7.501901 -10.628153 -6.490845
-1.499625 5.209190 -8.527443 6.201308
-1.495169 2.774669 -8.923283 3.756743
-1.480779 4.666996 -8.596859 5.653030
-1.455702 5.298101 -8.463826 6.286622
-1.451497 3.012673 -8.840320 3.991414
-1.366297 4.737784 -8.466339 5.717103
-1.357284 -4.549943 -9.977312 -3.560654
-1.308919 0.031843 -9.183411 1.001550
-1.170060 3.065250 -8.543144 4.023571
-1.110833 4.861665 -8.183950 5.821524
-1.085272 5.413124 -8.065127 6.373637
-1.022660 4.852649 -8.094045 5.806446
-0.953529 5.823090 -7.860558 6.775444
-0.732578 5.626518 -7.665391 6.559893
-0.715227 5.903126 -7.603961 6.837200
-0.642523 3.214789 -7.978868 4.138776
-0.624740 2.826776 -8.021464 3.748354
-0.600113 -5.420277 -9.352296 -4.461716
-0.378325 0.602368 -8.141488 1.512267
-0.318072 6.358846 -7.116110 7.266710
-0.211712 3.594298 -7.476691 4.488896
-0.009684 0.540918 -7.775276 1.427515
0.052826 5.742178 -6.836780 6.617852
0.060525 -0.152467 -7.818867 0.732589
0.104946 3.576662 -7.152657 4.444738
0.149485 4.914263 -6.880851 5.784434
0.175441 3.886070 -7.028724 4.751528
0.174688 1.094054 -7.500202 1.968246
0.325058 -3.857925 -8.150082 -2.960118
0.336252 -6.699063 -8.618739 -5.773746
0.609152 5.903360 -6.240907 6.737723
0.641382 3.365035 -6.639583 4.199378
0.713439 4.790442 -6.323212 5.616089
0.820819 5.743028 -6.054845 6.561231
0.842678 2.272256 -6.621749 3.096692
1.020449 3.886900 -6.169780 4.693745
1.018472 2.272404 -6.445568 3.085419
1.096591 -0.617853 -6.844546 0.209108
1.229382 2.184595 -6.245564 2.983666
1.377798 -0.749683 -6.584420 0.062390
1.545718 -1.892480 -6.602611 -1.079734
1.571038 0.444576 -6.194484 1.233780
1.723919 3.304866 -5.557460 4.065362
2.787838 6.394606 -4.199437 7.077285
2.781848 5.313020 -4.388386 6.000858
2.876591 6.395150 -4.111319 7.071102
2.894679 6.449068 -4.084772 7.123746
3.002223 6.602310 -3.951277 7.267818
3.233210 6.594919 -3.720626 7.243101
3.231334 4.870140 -4.013836 5.528799
3.257159 4.727962 -4.010758 5.385562
3.332778 5.539161 -3.799687 6.185935
3.329286 4.950780 -3.900442 5.601699
3.341877 5.574932 -3.784143 6.220909
3.434814 6.192727 -3.585590 6.827982
3.446329 5.245455 -3.733974 5.885875
3.465648 5.495369 -3.673641 6.132849
3.508511 5.254757 -3.670750 5.890938
3.602045 4.569824 -3.691258 5.204574
3.836785 3.674793 -3.604591 4.300536
4.054634 5.812360 -2.787672 6.393129
5.978730 6.747822 -0.719362 7.176849
6.124470 6.884976 -0.552615 7.302706
6.242673 6.255738 -0.539328 6.672308
6.265024 5.860597 -0.582010 6.280046
6.279456 6.319166 -0.493807 6.731777
6.429260 1.252202 -3.604743 1.851071
6.546916 6.088551 -0.270937 6.484114
6.545693 3.131768 -3.087260 3.684524
6.629089 6.170520 -0.176649 6.559711
6.737839 6.207888 -0.063150 6.588253
6.870547 5.993643 0.031776 6.367728
7.570381 2.729570 -2.173619 3.223666
7.618809 3.183800 -2.020109 3.664446
7.643807 2.890197 -2.063511 3.375608
7.755521 1.868483 -2.159198 2.368276
7.776558 2.428468 -2.033286 2.915393
7.782707 1.877487 -2.129192 2.375349
7.796511 2.722139 -1.951368 3.201432
7.814095 2.642171 -1.951345 3.121838
7.866375 2.304493 -1.969333 2.788115
7.874183 2.073400 -2.003942 2.560845
7.920423 2.251441 -1.925575 2.732427
8.073551 2.074411 -1.801667 2.549367
8.352467 3.073536 -1.323364 3.508406
8.352187 3.037862 -1.330862 3.473114
8.371510 3.180727 -1.280559 3.611959
8.480889 3.208381 -1.164053 3.632029
8.490288 3.244159 -1.147352 3.666123
8.707033 3.022764 -0.980760 3.435061
8.762158 3.076759 -0.916356 3.484027
8.799225 3.148491 -0.863759 3.551678
8.872738 3.211624 -0.777046 3.609014
9.098178 2.865087 -0.630182 3.255346
9.137944 3.249635 -0.508129 3.627881
9.178400 3.661532 -0.381887 4.027539
9.220578 3.286124 -0.421070 3.658102
9.250633 3.563761 -0.335369 3.927059
9.275725 3.313445 -0.362114 3.681243
9.341063 3.448255 -0.270304 3.808362
9.387329 2.376033 -0.434577 2.758155
9.486234 3.297435 -0.158182 3.651682
9.801162 3.596007 0.212357 3.921718
9.886364 3.830078 0.350117 4.144586
9.876948 2.844346 0.126890 3.184600
9.957569 3.606542 0.365653 3.921768
10.298132 3.583080 0.695441 3.876667
10.409919 3.683010 0.826853 3.964509
10.687964 3.757880 1.106314 4.019242
10.919049 3.724428 1.322612 3.971799
11.163968 3.205392 1.451474 3.449988
11.228423 3.998035 1.686983 4.220342
11.546956 3.389099 1.859258 3.605818
-3.737609 3.478254 -11.121600 4.626531
-3.307313 -1.155414 -11.435534 -0.062195
-3.043487 1.781920 -10.683836 2.865132
-2.911210 1.781692 -10.547368 2.856535
-2.852156 2.989092 -10.288936 4.066479
-2.629178 4.919288 -9.743411 5.990224
-2.602944 4.990334 -9.699414 6.063262
4.791959 3.369884 -4.777185 4.040278
7.792814 2.241388 -2.061149 2.728238
