       x               y       
0.82425796      0.28202615     
-6.80029680     0.58891369     
2.50808964      0.16365781     
-5.16612167     0.49021467     
1.33468062      1.97792042     
-6.07979909     2.27640125     
2.50727585      2.83006551     
-4.77811942     3.12006586     
2.29373887      -3.68028520    
-3.79509517     -3.38394241    
3.00808524      -6.05480438    
-3.32448032     -5.75975175    
0.93303605      -4.24816951    
-4.88101196     -3.96137379    
3.53084384      -5.87030601    
-3.28367668     -6.33698252    
3.50419857      -5.20015308    
-3.23969664     -5.66988409    
3.56426761      -6.77223344    
-3.30669180     -6.46272828    
4.89206311      5.20689272     
-0.55595962     5.47037650     
4.82690658      4.87178250     
-0.66153044     5.14554614     
6.97568512      -0.26916550    
0.27120523      -0.63525560    
6.58146110      -2.25635556    
0.23193845      -1.98391408    
5.25935281      4.80391569     
-0.23390517     5.07862405     
6.25301898      0.36324674     
0.22731109      0.63310158     
